,Name,Date,Open,High,Low,Close,Adj Close,Volume,5-day Avg,7-day Avg,Signal
157,Fin Nifty,2023-02-16,18714.050781,18738.849609,18541.849609,18587.800781,18587.800781,600600.0,18625.3796874,18604.521205285713,
158,Fin Nifty,2023-02-17,18539.150391,18555.800781,18317.400391,18434.099609,18434.099609,627000.0,18623.449999800003,18602.957031142858,
159,Fin Nifty,2023-02-20,18473.599609,18503.800781,18208.550781,18252.550781,18252.550781,645400.0,18616.1902342,18598.07142842857,
160,Fin Nifty,2023-02-21,18295.699219,18378.349609,18215.400391,18262.449219,18262.449219,780800.0,18567.960155999997,18571.342912714288,
161,Fin Nifty,2023-02-22,18186.050781,18204.550781,17905.199219,17941.25,17941.25,800700.0,18476.270312200002,18523.407365857147,
162,Fin Nifty,2023-02-23,17926.5,17984.650391,17763.75,17912.099609,17912.099609,826100.0,18325.4304686,18432.71456457143,
163,Fin Nifty,2023-02-24,18022.25,18036.75,17827.949219,17864.099609,17864.099609,650800.0,18221.6203124,18343.250278857147,
164,Fin Nifty,2023-02-27,17819.550781,18037.0,17787.099609,18001.400391,18001.400391,666400.0,18128.260156199998,18242.986049,
165,Fin Nifty,2023-02-28,17969.699219,18059.849609,17909.449219,17989.650391,17989.650391,1000100.0,18064.5601562,18172.13588157143,
166,Fin Nifty,2023-03-01,18083.5,18136.099609,18037.949219,18100.300781,18100.300781,782100.0,18050.8699218,18119.607142714285,Sell
167,Fin Nifty,2023-03-02,18070.199219,18144.150391,17920.400391,17946.949219,17946.949219,750100.0,18082.769921799998,18086.150111571427,
168,Fin Nifty,2023-03-03,18070.349609,18322.800781,18024.25,18264.5,18264.5,931600.0,18139.980078,18103.042968714286,Buy
169,Fin Nifty,2023-03-06,18336.349609,18466.199219,18320.199219,18369.550781,18369.550781,1025900.0,18225.8199218,18171.835658428572,
170,Fin Nifty,2023-03-08,18316.0,18410.900391,18272.300781,18393.199219,18393.199219,1160700.0,18296.0300782,18225.285714285714,
171,Fin Nifty,2023-03-09,18374.949219,18445.699219,18237.199219,18255.5,18255.5,1005100.0,18357.9500002,18283.671316999997,
172,Fin Nifty,2023-03-10,18077.300781,18088.0,17863.199219,17927.75,17927.75,956700.0,18346.719921999997,18287.69280142857,
173,Fin Nifty,2023-03-13,17907.550781,18079.0,17584.0,17635.0,17635.0,978700.0,18297.9597658,18279.53571442857,
174,Fin Nifty,2023-03-14,17617.5,17717.650391,17456.449219,17545.75,17545.75,1157100.0,18148.250000199998,18218.607142999997,
175,Fin Nifty,2023-03-15,17693.449219,17746.25,17361.849609,17410.75,17410.75,1082900.0,18015.319922000002,18136.242745714284,
176,Fin Nifty,2023-03-16,17429.949219,17564.449219,17261.300781,17463.900391,17463.900391,1093400.0,17839.069922000002,18007.421317142856,
